Nome,Parâmetro de Hurst,Dimensão Fractal
yeah_apache2_20000n_1000c_4vram.txt,0.6733069,1379596
yeah_nginx_20000n_1000c_4vram.txt,0.8123534,1037668
yeah_apache2_10000n_500c_4vram.txt,0.801249,1066661
yeah_nginx_10000n_500c_4vram.txt,0.7839318,1
yeah_apache2_2000n_100c_4vram.txt,0.7890215,1123436
illinois_nginx_10000n_500c_4vram.txt,0.7930397,1012395
illinois_apache2_20000n_1000c_4vram.txt,0.7114471,1393619
illinois_apache2_2000n_100c_4vram.txt,0.7755859,1123766
illinois_apache2_10000n_500c_4vram.txt,0.8058726,1086787
illinois_nginx_20000n_1000c_4vram.txt,0.8059215,1032625
illinois_nginx_2000n_100c_4vram.txt,0.7817455,1003107
dctcp_nginx_10000n_500c_4vram.txt,0.8105279,1
dctcp_nginx_20000n_1000c_4vram.txt,0.8023508,1007762
dctcp_apache2_2000n_100c_4vram.txt,0.7978884,1132697
dctcp_nginx_2000n_100c_4vram.txt,0.8164489,101234
dctcp_apache2_20000n_1000c_4vram.txt,0.7340436,1401284
dctcp_apache2_10000n_500c_4vram.txt,0.7878174,105357
cdg_apache2_20000n_1000c_4vram.txt,0.6988268,1353445
cdg_apache2_2000n_100c_4vram.txt,0.8113831,1037682
cdg_nginx_2000n_100c_4vram.txt,0.8030117,1
cdg_apache2_10000n_500c_4vram.txt,0.8017724,1053217
cdg_nginx_20000n_1000c_4vram.txt,0.7921323,1011744
cdg_nginx_10000n_500c_4vram.txt,0.7919076,1061869
bbr_nginx_2000n_100c_4vram.txt,0.8036005,1
bbr_nginx_10000n_500c_4vram.txt,0.78671,1013177
bbr_apache2_20000n_1000c_4vram.txt,0.7298049,1106463
bbr_apache2_2000n_100c_4vram.txt,0.7310243,1058114
bbr_apache2_10000n_500c_4vram.txt,0.7940626,1082657
bbr_nginx_20000n_1000c_4vram.txt,0.8050406,1021317
